"","teach","class.type","class.per","pre.2","pre.4","Q2A1","Q2A2","Q2A3","Q2A4","Q2A5","Q2A6","Q4A1","Q4A2","Q4A3","Q4A4","Q4A5","Q4A6","Q4A7","Q4_Fac1_Score","Q4_Fac2_Score","Q2_1_Fac_Score","Q2_2Fac_Fac1_Score","Q2_2Fac_Fac2_Score"
"1",1,1,0.84605454,-3.700586418,-4.252857908,0,0,0,0,0,0,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"2",1,1,0.912367873,-3.540928692,-3.377452863,0,0,0,0,0,0,3,5,4,1,1,1,1,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"3",1,1,0.610756717,-3.755440459,-4.826457436,0,0,0,0,0,0,3,5,3,1,1,1,1,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"4",1,1,0.449605572,-2.722840093,-2.910973346,1,0,0,0,0,1,3,5,3,1,3,1,3,-1.3884666837332,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"5",1,1,0.596883666,-3.562061025,-3.624080369,0,0,0,0,0,0,3,5,1,1,3,1,1,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"6",1,1,0.319543486,-2.566521298,-3.51227548,0,1,0,0,0,1,4,5,1,1,1,1,1,-2.34529354450057,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"7",1,1,0.503091374,-3.283287628,-3.168349591,0,1,0,0,0,1,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"8",1,1,0.061179732,-3.381322428,-3.736939179,0,0,0,0,0,0,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"9",1,1,0.939725101,-3.286043179,-3.783454648,0,0,0,0,0,0,1,5,3,1,3,1,1,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"10",1,1,0.192242566,-3.515479517,-3.411569432,1,0,0,0,0,1,1,5,1,1,1,1,3,-2.63854706455174,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"11",1,1,0.874187583,-3.160344359,-2.932208674,0,0,0,0,0,0,3,5,1,1,4,1,1,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"12",1,1,0.3150908,-3.46251926,-3.90117702,0,0,0,0,0,0,1,5,1,1,1,1,3,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"13",1,1,0.924439048,-3.677161466,-3.341213732,0,0,0,0,0,0,1,5,1,1,1,1,3,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"14",1,1,0.760731174,-3.790326881,-3.869323361,0,0,0,0,0,0,2,5,1,1,1,1,3,-2.34529354450057,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"15",1,1,0.694559547,-3.644842669,-3.726839661,0,0,0,0,0,0,1,5,1,1,1,1,1,-3.57801333945551,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"16",1,1,0.747353416,-3.6531688,-3.204791543,0,0,0,0,0,0,5,5,3,1,1,1,3,-1.3884666837332,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"17",1,1,0.444669262,-3.024479589,-3.854404552,1,0,0,0,1,1,4,5,2,1,1,1,1,-2.11339371445378,-2.41763584278387,-0.698394047816031,-0.700521104254516,0.0625548426537036
"18",1,1,0.670073477,-3.790656639,-3.141093896,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"19",1,1,0.749197567,-3.714845822,-3.256351914,0,0,0,0,0,0,5,5,3,1,1,1,1,-1.73034468743594,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"20",1,1,0.081893667,-3.110850386,-3.116479347,0,0,0,0,0,0,3,5,3,1,1,1,1,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"21",1,1,0.644973452,-3.14149138,-3.071170495,0,0,0,1,0,1,1,5,1,1,2,1,5,-1.91298931262161,-2.41763584278387,-0.930775288461632,-0.898080152217355,0.228909840824867
"22",1,1,0.882693482,-2.986819097,-3.50581388,1,0,0,0,0,1,2,5,1,1,1,1,3,-2.34529354450057,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"23",1,1,0.541278853,-3.164539985,-2.961482904,0,0,0,0,0,0,3,5,2,1,1,1,3,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"24",1,1,0.682900597,-2.748502951,-3.201775718,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"25",1,1,0.122257337,-3.114157092,-3.815680474,0,0,0,0,0,0,3,5,1,1,3,1,3,-1.73034468743594,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"26",1,1,0.257901223,-3.494422525,-3.278859699,0,0,0,0,0,0,3,5,3,1,2,1,3,-1.55738901126244,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"27",1,1,0.265607806,-2.969503528,-3.517592387,0,0,0,0,0,0,3,5,2,1,1,1,3,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
